"Course ID","Course Code","Course Title","School Year"
"299696","A04","Art 2: Interm. 2-D Art","2023 - 2024"
"299697","A05","Art 3: Portfolio Preparation","2023 - 2024"
"299698","A06","Art 4: Portfolio Preparation","2023 - 2024"
"299703","A10","Book Arts 1","2023 - 2024"
"299706","MUS06","Chorus","2023 - 2024"
"299707","MUS13","Concert Choir","2023 - 2024"
"299708","MUS05","Chamber Choir","2023 - 2024"
"299709","MUS02","Jazz Choir","2023 - 2024"
"299710","MUS12","String Methods","2023 - 2024"
"299713","MUS08","Jazz Ensemble","2023 - 2024"
"299714","PE04","HS Fitness","2023 - 2024"
"299716","PE09","Dance Company","2023 - 2024"
"299721","A57","Photography 1","2023 - 2024"
"299726","HM06","Yearbook","2023 - 2024"
"299729","PE20","SELPH 8","2023 - 2024"
"299735","A33","MS Arts 8: Dance","2023 - 2024"
"299736","A30","MS Arts 8: Drama","2023 - 2024"
"301946","","Study Hall","2023 - 2024"
"309138","H27","Government Cabinet","2023 - 2024"
"310868","E11","English 11","2023 - 2024"
"310870","E12","English 12","2023 - 2024"
"312100","MUS07","AP Music Theory","2023 - 2024"
"316608","LL14","Honors Latin: Vergil's Aeneid","2023 - 2024"
"335127","A43","Advanced Drama","2023 - 2024"
"335129","LASL06","American Sign Language 2","2023 - 2024"
"335335","A39","Intro to Drama","2023 - 2024"
"339508","PE25","SELPH","2023 - 2024"
"339509","A41","MS Arts: Visual Arts","2023 - 2024"
"339640","LS17","Honors Spanish: Advanced Conversation and Literature","2023 - 2024"
"353725","H32","Black History of the United States","2023 - 2024"
"353726","CS34","AP Computer Science Principles","2023 - 2024"
"353728","LASL08","American Sign Language 4","2023 - 2024"
"353838","MUS22","Digital Music Production: Recording","2023 - 2024"
"353839","MUS23","Digital Music Production: Mixing","2023 - 2024"
"353842","CS35","Engineering & Design Thinking","2023 - 2024"
"353872","MUS17","Instrument Ensemble","2023 - 2024"
"353873","A48","MS Arts: Chorus","2023 - 2024"
